memory 5.0 Gb
molecule AlkEthOH_c1008_3 {
  0 1
  C     0.4216    -0.7655      0.6578
  C     0.2496     0.8834      3.2933
  C     1.6069    -0.1960      1.4221
  C     1.2786     1.0839      2.1914
  H    -0.0110    -0.0164     -0.0127
  H     0.7407    -1.6194      0.0516
  H    -0.3612    -1.1166      1.3367
  H    -0.7260     0.6038      2.8849
  H     0.1178     1.8123      3.8574
  H     0.5691     0.1045      3.9926
  H     1.9947    -0.9558      2.1105
  H     2.4097     0.0240      0.7081
  H     2.2027     1.4659      2.6417
  H     0.9226     1.8541      1.4975
  units angstrom
}

set scf_type df
set guess sad
set df_basis_mp2 def2-sv_p_-ri

set basis def2-sv(p)
set freeze_core True
optimize('mp2')

